City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Philippe,CA,2019-11-04 03:58:50,45.36,-73.48,39.99,80,90,12.75
1,Namibe,AO,2019-11-04 04:08:05,-15.19,12.15,72.07,87,57,1.36
2,Jamestown,AU,2019-11-04 03:58:38,-33.21,138.6,63.41,42,11,18.34
3,Rikitea,PF,2019-11-04 03:58:31,-23.12,-134.97,74.26,80,100,10.94
4,Barrow,AR,2019-11-04 03:58:46,-38.31,-60.23,62.38,51,0,17.67
5,Ushuaia,AR,2019-11-04 03:58:32,-54.81,-68.31,39.2,96,40,18.34
6,Aklavik,CA,2019-11-04 04:00:52,68.22,-135.01,12.2,92,75,6.93
7,Constitucion,MX,2019-11-04 03:59:41,23.99,-104.67,59.0,82,75,9.17
8,Oriximina,BR,2019-11-04 04:08:07,-1.77,-55.87,84.36,64,25,1.23
9,Bredasdorp,ZA,2019-11-04 03:58:41,-34.53,20.04,59.0,79,40,10.0
10,Pundaguitan,PH,2019-11-04 04:08:08,6.37,126.17,83.37,71,30,9.35
11,Tasiilaq,GL,2019-11-04 03:58:59,65.61,-37.64,30.2,92,100,1.12
12,Atbasar,KZ,2019-11-04 04:08:08,51.81,68.36,26.87,93,100,21.23
13,Punta Arenas,CL,2019-11-04 03:58:39,-53.16,-70.91,42.8,70,90,26.4
14,Labuhan,ID,2019-11-04 04:08:08,-2.54,115.51,94.08,41,71,2.33
15,Tuatapere,NZ,2019-11-04 03:59:40,-46.13,167.69,70.88,35,100,6.96
16,Busselton,AU,2019-11-04 03:58:33,-33.64,115.35,78.01,36,0,6.73
17,Sao Joao Da Barra,BR,2019-11-04 04:00:37,-21.64,-41.05,74.41,86,0,9.19
18,Darhan,MN,2019-11-04 04:08:10,49.49,105.92,28.45,43,56,8.57
19,Puerto Ayora,EC,2019-11-04 03:58:36,-0.74,-90.35,69.01,90,32,5.99
20,Port Blair,IN,2019-11-04 03:59:34,11.67,92.75,82.33,77,100,14.43
